lecture_attended,total_lectures_alloted,unit_test_score_outoff_30,Practicals_score_outoff_20,insem_score_outoff_30,endsem_score_outoff_70
52,60,29,11,25,41
50,60,18,12,14,46
30,60,25,10,23,44
43,60,28,11,18,42
44,60,5,17,12,34
29,60,30,12,11,30
24,60,26,20,20,53
58,60,7,17,14,38
54,60,20,20,12,36
24,60,5,20,30,55
41,60,28,13,15,34
35,60,27,12,14,34
58,60,22,19,20,44
33,60,10,13,16,39
57,60,27,11,11,37
38,60,24,11,19,50
54,60,5,14,13,25
47,60,17,20,15,36
38,60,13,10,14,28
53,60,12,13,22,51
34,60,8,16,23,33
55,60,14,19,14,49
47,60,27,15,10,31
57,60,20,15,20,47
36,60,29,11,12,37
51,60,23,19,19,48
27,60,23,20,27,57
56,60,13,20,13,38
40,60,22,15,22,46
20,60,13,19,30,58
48,60,29,15,26,53
51,60,28,18,28,65
57,60,19,14,18,49
47,60,21,14,24,53
40,60,14,18,21,51
22,60,24,20,13,48
48,60,28,14,16,54
54,60,16,10,12,43
51,60,14,16,15,41
43,60,5,17,19,45
33,60,10,10,14,23
57,60,24,11,15,41
35,60,17,12,24,46
48,60,27,20,29,69
42,60,15,14,19,34
38,60,8,10,20,41
34,60,30,20,17,44
48,60,19,16,29,51
45,60,27,12,15,46
42,60,14,11,30,43
40,60,11,15,19,38
35,60,19,18,30,48
50,60,5,11,30,36
50,60,30,15,10,43
58,60,24,19,22,46
28,60,12,17,22,36
40,60,15,19,25,51
26,60,20,10,23,36
50,60,16,14,13,45
58,60,19,16,28,52
24,60,12,10,21,31
51,60,23,20,20,60
23,60,22,15,21,37
40,60,21,16,20,53
41,60,15,14,30,39
41,60,9,18,21,50
43,60,9,10,15,33
58,60,24,16,27,60
44,60,19,19,27,52
21,60,25,15,14,48
45,60,14,12,19,43
22,60,10,20,16,29
54,60,21,17,18,38
48,60,19,13,15,34
30,60,20,15,14,46
21,60,25,19,28,57
47,60,19,14,24,44
41,60,28,19,19,49
47,60,15,13,30,44
47,60,12,14,19,32
24,60,6,12,26,35
41,60,19,11,19,49
35,60,29,11,14,41
28,60,14,13,12,39
22,60,7,15,17,41
20,60,8,13,27,31
21,60,30,18,18,53
48,60,15,12,17,29
54,60,8,11,23,45
46,60,27,18,21,48
20,60,29,12,10,25
27,60,21,12,16,42
20,60,12,19,21,42
29,60,16,11,24,46
50,60,5,15,14,36
30,60,30,15,18,54
46,60,28,18,12,52
45,60,29,13,22,47
37,60,10,14,18,32
26,60,17,12,10,28
37,60,23,19,17,41
40,60,8,20,12,36
57,60,12,18,13,48
48,60,30,16,15,38
26,60,25,12,17,39
49,60,28,19,19,43
39,60,26,11,27,54
23,60,13,17,30,49
46,60,9,10,21,35
31,60,24,15,22,53
46,60,21,16,25,45
46,60,14,11,12,27
39,60,26,15,20,40
39,60,17,14,28,45
40,60,10,12,27,35
31,60,28,13,10,31
32,60,9,18,19,32
44,60,17,12,13,31
46,60,27,18,20,42
40,60,14,17,26,56
24,60,25,12,24,52
50,60,9,12,26,43
30,60,13,13,10,32
44,60,8,19,21,37
45,60,9,17,10,33
38,60,17,19,20,46
43,60,20,12,13,43
56,60,18,10,24,46
20,60,6,17,24,36
31,60,29,12,21,52
29,60,20,11,15,25
26,60,18,20,25,58
49,60,15,15,29,40
27,60,18,10,23,37
23,60,16,18,30,47
53,60,19,15,24,56
60,60,9,19,22,54
57,60,9,10,12,22
45,60,26,20,17,41
33,60,18,15,25,49
34,60,19,12,14,33
27,60,9,10,14,22
29,60,21,12,24,36
37,60,27,19,17,57
20,60,15,14,28,52
42,60,28,11,17,48
43,60,15,18,29,53
42,60,8,20,20,41
31,60,27,12,13,30
32,60,7,12,30,46
28,60,14,16,22,50
25,60,15,18,12,41
46,60,12,12,29,52
60,60,13,12,14,40
54,60,8,11,28,45
27,60,12,16,27,39
41,60,28,16,27,59
41,60,17,12,15,39
36,60,25,10,17,42
51,60,18,20,16,37
45,60,8,12,21,29
57,60,19,14,10,31
46,60,29,11,18,39
55,60,27,12,17,51
60,60,20,14,26,56
35,60,22,18,16,47
59,60,15,14,15,30
30,60,14,10,22,44
31,60,13,15,21,46
56,60,13,12,21,37
28,60,18,11,11,38
34,60,6,10,16,19
47,60,18,19,10,36
57,60,30,20,17,63
40,60,12,18,14,45
23,60,15,13,29,53
44,60,23,12,24,48
32,60,13,15,16,42
37,60,12,12,18,43
32,60,12,16,22,42
42,60,15,19,18,45
36,60,16,12,11,30
50,60,21,10,16,39
56,60,12,14,15,28
32,60,20,19,12,39
51,60,24,10,28,43
20,60,28,18,14,37
24,60,16,18,26,52
38,60,20,11,28,44
59,60,10,17,29,53
37,60,21,12,21,39
59,60,16,11,17,35
54,60,17,14,11,44
24,60,10,15,26,50
30,60,17,17,30,41
45,60,13,11,27,36
50,60,7,16,14,37
48,60,6,15,20,41
20,60,29,20,10,49
22,60,6,11,11,28
